"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Australia","AUS","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.62247632918728","1.65805617610273","1.33919465640729","1.34002603975733","1.28495029449311","1.54579833615703","1.23533911493023","1.31839503239905","1.1412146146773","1.31165617079219","1.42936881634466","1.20655494765672","1.24626480870216","0.979918635896309","0.928994657226608","0.933517176630927","0.903605321480026","0.815345919563871","0.946745295894463","0.70041061898331","0.845536412699676","0.798455042722668","0.724037161425394","0.806874917649402","0.794519035788603","0.704478537488619","0.656958678777262","0.510494428439499","0.672065647372435","0.537469147887719","0.578068277050314","",
"Australia","AUS","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",
"Australia","AUS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3856932141","4467054952","3840218927","4554403968","5598902061","5466439333","5341235868","5455317567","5089628319","5375124772","4900487730","5231519687","6347419761","5597904737","6309320488",
"Australia","AUS","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","3.41094468337535","3.05751550138978","3.2631624262775","2.53036802076199","2.30074228327679","2.67463706233988","2.65026029342168","4.57147764355642","1.7580232888384","1.60617932550417","1.58323154918266","1.39448783360999","1.09329636299712","1.04498671459016","3.45276473600323","2.19353906703409","2.16797864767061","1.5419556415729","1.26869084408475","2.38140730762088","1.48619851647654","1.79420744074042","2.29994473179986","1.14498626955228","1.4682924011756","2.11051007676631","1.77788892539615","1.54001562312856","1.86736042714615","1.82455088196304","1.79354119107638","1.86131532336996","2.00312329355497","2.14036353251828","2.03492662995853","2.13518653252747","2.50874501537406","3.12277144867357","3.31199431790396","3.07208086750424","2.57689284180393","2.90254411928506","2.97262434125026","3.81002596925788","5.51951404008639","5.67889218871947","5.97262019416998","5.99221183280561","6.53049053945575","8.13944444878354","7.69932258203208","6.32100896562929","5.50854157210429","4.10918893840735","3.79371031773076","4.90851331472717","4.27375348978237","5.722492137066","5.10124648084745","3.99184083148063","3.4108865482707","",
"Australia","AUS","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","5.26966236591033","10.7119948685055","8.18804081105515","11.4190967090798","10.0225036106539","11.1016225448335","10.484303517905","14.2697658441633","12.1641579096847","12.4043658895926","12.1174728529121","9.5250480000612","8.81899120726264","9.17027240830145","12.6756132038051","11.4027580287125","9.91488395027211","11.5726317269395","12.4265184795111","12.890480953826","12.9131830464825","12.5331435205535","12.3217758971803","11.1493654960502","10.4612851461428","10.8254245925339","11.8471536972028","11.1973161966043","10.2303626219043","10.9591622134186","11.5531979186692","11.9714939857544","13.1444242183463","14.4185279900764","16.1497470739649","16.9934021118164","18.2442189801473","17.6696419548423","13.7808458194847","14.5391673767949","15.664185996135","15.7764304245621","16.4922257892718","17.7236288470845","19.3792061232201","21.6626080530333","22.3952378393461","23.9195112680934","23.302804316508","30.3500665807527","33.5955073407196","36.2819685619544","38.3346153396867","44.2783458700942","42.6234192437792","40.8420951058005","40.7908945861454","42.3265127179","43.1108726324345","45.9625765267414","45.7541147632411","",
"Australia","AUS","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","1.30011369815611","1.34274107333761","1.0805458693874","1.08495836787658","1.29311792563732","1.31853116994022","1.21154756270705","2.19843132764642","1.15024140869071","1.05144226897404","1.8488463533388","3.46441875941834","2.39232466342102","1.50647989864265","3.57140281413849","4.38825397918586","3.44802435490574","4.04928813833105","4.01719765524314","5.15678111016023","6.14206822757032","6.31662220030351","6.40110771776735","4.86761912826779","5.92850105347395","6.36808140791424","4.94240351108232","3.56469474259879","3.09759699771978","3.43824991386488","3.42691741461415","2.45652256992435","2.46181476195659","2.68701104905864","2.32874758452268","1.8927064748739","2.76498280547712","3.54977430030925","4.20124234837496","4.16779764823244","4.49192895818498","5.6588723259749","5.45491644081546","5.20834789506326","5.15565523545894","3.82200595911142","4.04370716278764","4.20254656154586","4.1754650342379","3.37928583330079","2.81591544447332","2.71601195515708","2.79618687155828","3.429107734872","3.38349491364838","3.87703153638814","2.77799408375896","2.76098590568317","2.69140452703658","2.16558125866737","1.97248425788832","",
"Australia","AUS","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8521887629","2.6869337112","2.2411068808","2.2366799778","1.9798454553","1.6798495086","1.449087265","1.3758532367","1.1107899799","1.0706629592","0.9618115288","0.8459264615","0.8759566311","0.9161893599","1.0803352298","1.4037238273","1.3073272223","1.0596676379","1.0028580827","1.1018690934","1.0387940943","",
"Australia","AUS","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.3184382799","51.3381260577","52.3431793554","57.4768622832","67.5414081264","79.9939197918","91.1342139766","101.8622809841","127.6265832346","110.6942488399","135.2595611216","171.3177202501","158.4803667092","147.0001254146","132.2047144021","100","95.580409082","115.1871281063","121.8985054546","127.8372753405","122.8885997756","171.9518615245",
"Australia","AUS","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.9949232290565","30.6244689669329","28.6289090175352","28.5654494520612","27.1892057752059","27.6395596245138","29.5844165176552","31.2250546707309","32.4463003036412","32.7009522070669","32.8329673013578","33.6943883305709","33.4475191355903","32.8119446887609","33.542745979751","38.2902085212507","38.4789074786167","38.3378867164229","39.6694832871079","40.0237960532227","44.3423130997272","44.403022073967","44.5380625753604","42.7100986762787","46.883317713373","47.5038208680508","46.5040096381118","50.0473136596664","50.90573692426","51.0461943485405","50.7505400194617","17.4689640718674","2.44626848991663",
